INFO  2016-03-20 14:55:23,058  5364ms SqlServerStorage       ateAndExecuteVoid2 - Start installing Hangfire SQL objects...
INFO  2016-03-20 14:55:24,962  7267ms SqlServerStorage       Log                - Hangfire SQL objects installed.
INFO  2016-03-20 14:55:25,113  7419ms BackgroundJobServer    Log                - Starting Hangfire Server
INFO  2016-03-20 14:55:25,118  7423ms BackgroundJobServer    Log                - Using job storage: 'SQL Server: tcp:oo0nio5ygm.database.windows.net,1433@TimeSheet'.
INFO  2016-03-20 14:55:25,118  7424ms BackgroundJobServer    Log                - Using the following options for SQL Server job storage:
INFO  2016-03-20 14:55:25,119  7424ms BackgroundJobServer    Log                -     Queue poll interval: 00:00:15.
INFO  2016-03-20 14:55:25,120  7425ms BackgroundJobServer    Log                - Using the following options for Hangfire Server:
INFO  2016-03-20 14:55:25,120  7425ms BackgroundJobServer    Log                -     Worker count: 20.
INFO  2016-03-20 14:55:25,120  7426ms BackgroundJobServer    Log                -     Listening queues: 'default'.
INFO  2016-03-20 14:55:25,121  7426ms BackgroundJobServer    Log                -     Shutdown timeout: 00:00:15.
INFO  2016-03-20 14:55:25,121  7426ms BackgroundJobServer    Log                -     Schedule polling interval: 00:00:15.
DEBUG 2016-03-20 14:55:25,289  7595ms groundProcessingServer ateAndExecuteVoid2 - Background process 'BackgroundProcessingServer' started.
DEBUG 2016-03-20 14:55:25,937  8242ms ServerHeartbeat        Log                - Background process 'ServerHeartbeat' started.
DEBUG 2016-03-20 14:55:25,939  8244ms ServerWatchdog         Log                - Background process 'ServerWatchdog' started.
DEBUG 2016-03-20 14:55:25,945  8251ms ExpirationManager      Log                - Background process 'Hangfire.SqlServer.ExpirationManager' started.
DEBUG 2016-03-20 14:55:25,948  8254ms CountersAggregator     Log                - Background process 'Hangfire.SqlServer.CountersAggregator' started.
DEBUG 2016-03-20 14:55:25,952  8257ms Worker                 Log                - Background process 'Worker #0af83eff' started.
DEBUG 2016-03-20 14:55:25,953  8259ms ExpirationManager      Log                - Removing outdated records from table 'AggregatedCounter'...
DEBUG 2016-03-20 14:55:25,954  8259ms CountersAggregator     Log                - Aggregating records in 'Counter' table...
DEBUG 2016-03-20 14:55:25,955  8261ms Worker                 Log                - Background process 'Worker #995558aa' started.
DEBUG 2016-03-20 14:55:25,957  8263ms Worker                 Log                - Background process 'Worker #7665491b' started.
DEBUG 2016-03-20 14:55:25,965  8270ms Worker                 Log                - Background process 'Worker #e6fe99ab' started.
DEBUG 2016-03-20 14:55:25,987  8293ms Worker                 Log                - Background process 'Worker #bba8200a' started.
DEBUG 2016-03-20 14:55:25,991  8296ms Worker                 Log                - Background process 'Worker #d31ff032' started.
DEBUG 2016-03-20 14:55:25,994  8300ms Worker                 Log                - Background process 'Worker #fc3d0864' started.
DEBUG 2016-03-20 14:55:25,997  8303ms Worker                 Log                - Background process 'Worker #afff87b7' started.
DEBUG 2016-03-20 14:55:26,001  8307ms Worker                 Log                - Background process 'Worker #64c9a982' started.
DEBUG 2016-03-20 14:55:26,008  8313ms Worker                 Log                - Background process 'Worker #adcc7621' started.
DEBUG 2016-03-20 14:55:26,012  8317ms Worker                 Log                - Background process 'Worker #a9a18c7b' started.
DEBUG 2016-03-20 14:55:26,036  8341ms Worker                 Log                - Background process 'Worker #815476f3' started.
DEBUG 2016-03-20 14:55:26,044  8349ms Worker                 Log                - Background process 'Worker #ba91f744' started.
DEBUG 2016-03-20 14:55:26,096  8402ms Worker                 Log                - Background process 'Worker #f4f33221' started.
DEBUG 2016-03-20 14:55:26,097  8402ms Worker                 Log                - Background process 'Worker #01b1e3ed' started.
DEBUG 2016-03-20 14:55:26,102  8407ms Worker                 Log                - Background process 'Worker #b4f96c95' started.
DEBUG 2016-03-20 14:55:26,105  8411ms Worker                 Log                - Background process 'Worker #925f1831' started.
DEBUG 2016-03-20 14:55:26,171  8476ms Worker                 Log                - Background process 'Worker #8604d02a' started.
DEBUG 2016-03-20 14:55:26,215  8520ms Worker                 Log                - Background process 'Worker #863d9f51' started.
DEBUG 2016-03-20 14:55:26,216  8521ms Worker                 Log                - Background process 'Worker #90a7e401' started.
DEBUG 2016-03-20 14:55:26,247  8553ms DelayedJobScheduler    Log                - Background process 'DelayedJobScheduler' started.
DEBUG 2016-03-20 14:55:26,251  8557ms RecurringJobScheduler  Log                - Background process 'RecurringJobScheduler' started.
DEBUG 2016-03-20 14:55:26,524  8830ms ExpirationManager      Log                - Removing outdated records from table 'Job'...
DEBUG 2016-03-20 14:55:27,454  9759ms ExpirationManager      Log                - Removing outdated records from table 'List'...
DEBUG 2016-03-20 14:55:27,795 10101ms ExpirationManager      Log                - Removing outdated records from table 'Set'...
DEBUG 2016-03-20 14:55:28,107 10412ms ExpirationManager      Log                - Removing outdated records from table 'Hash'...
INFO  2016-03-20 15:01:12,524  1273ms SqlServerStorage       ateAndExecuteVoid2 - Start installing Hangfire SQL objects...
INFO  2016-03-20 15:01:13,018  1767ms SqlServerStorage       Log                - Hangfire SQL objects installed.
INFO  2016-03-20 15:01:13,060  1809ms BackgroundJobServer    Log                - Starting Hangfire Server
INFO  2016-03-20 15:01:13,064  1813ms BackgroundJobServer    Log                - Using job storage: 'SQL Server: tcp:oo0nio5ygm.database.windows.net,1433@TimeSheet'.
INFO  2016-03-20 15:01:13,065  1814ms BackgroundJobServer    Log                - Using the following options for SQL Server job storage:
INFO  2016-03-20 15:01:13,065  1814ms BackgroundJobServer    Log                -     Queue poll interval: 00:00:15.
INFO  2016-03-20 15:01:13,065  1814ms BackgroundJobServer    Log                - Using the following options for Hangfire Server:
INFO  2016-03-20 15:01:13,065  1814ms BackgroundJobServer    Log                -     Worker count: 20.
INFO  2016-03-20 15:01:13,066  1815ms BackgroundJobServer    Log                -     Listening queues: 'default'.
INFO  2016-03-20 15:01:13,066  1815ms BackgroundJobServer    Log                -     Shutdown timeout: 00:00:15.
INFO  2016-03-20 15:01:13,066  1815ms BackgroundJobServer    Log                -     Schedule polling interval: 00:00:15.
DEBUG 2016-03-20 15:01:13,091  1840ms groundProcessingServer ateAndExecuteVoid2 - Background process 'BackgroundProcessingServer' started.
DEBUG 2016-03-20 15:01:13,493  2242ms ServerHeartbeat        Log                - Background process 'ServerHeartbeat' started.
DEBUG 2016-03-20 15:01:13,497  2246ms ServerWatchdog         Log                - Background process 'ServerWatchdog' started.
DEBUG 2016-03-20 15:01:13,510  2259ms ExpirationManager      Log                - Background process 'Hangfire.SqlServer.ExpirationManager' started.
DEBUG 2016-03-20 15:01:13,510  2259ms CountersAggregator     Log                - Background process 'Hangfire.SqlServer.CountersAggregator' started.
DEBUG 2016-03-20 15:01:13,514  2263ms CountersAggregator     Log                - Aggregating records in 'Counter' table...
DEBUG 2016-03-20 15:01:13,514  2263ms ExpirationManager      Log                - Removing outdated records from table 'AggregatedCounter'...
DEBUG 2016-03-20 15:01:13,518  2267ms Worker                 Log                - Background process 'Worker #ab671c54' started.
DEBUG 2016-03-20 15:01:13,542  2291ms Worker                 Log                - Background process 'Worker #74e4024f' started.
DEBUG 2016-03-20 15:01:13,542  2291ms Worker                 Log                - Background process 'Worker #dcebe5f3' started.
DEBUG 2016-03-20 15:01:13,547  2296ms Worker                 Log                - Background process 'Worker #4b56ced3' started.
DEBUG 2016-03-20 15:01:13,553  2302ms Worker                 Log                - Background process 'Worker #91030842' started.
DEBUG 2016-03-20 15:01:13,558  2307ms Worker                 Log                - Background process 'Worker #e11c8c60' started.
DEBUG 2016-03-20 15:01:13,562  2311ms Worker                 Log                - Background process 'Worker #e4036fb2' started.
